Instrument Code 1,Customer_No,고객이름,장비명,시리얼넘버,지역,시/도,주소,고객설치일,워런티종료일,옵타입종료일,사용년,옵션
8526,529251,세광의료재단,HFA3  850,850-17255,부산,해운대구,해운대로 409-1(우2동),5/22/2025,5/23/2026,5/22/2027,0,None
9148,955004,삼성안과의원,VISULAS yag,9148010141,서울,송파구,"올림픽로 114, 7층 (잠실동 서경빌딩)",5/19/2025,5/20/2026,,0,None
9511,54291,칼자이스 (주),VISUMAX 800,9511100596,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/19/2025,6/20/2026,,125.5,None
6217,54291,칼자이스 (주),OPMI Lumera 700,6634151620,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/18/2025,6/19/2026,,125.5,None
8709,54291,칼자이스 (주),Cirrus 500,500-38517,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/18/2025,6/19/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613110840,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613110907,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613110910,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613111246,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613111258,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6030,54291,칼자이스 (주),OPMI PICO,6613111267,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
6033,1327138,현미경치과의원,EXTARO 300 Dental,6033307145,서울,강남구,"선릉로 32, 2층 202호",5/15/2025,6/16/2026,,125.5,None
6033,1862749,서울진이치과,EXTARO 300 Dental,6033307135,경기,의정부시,"용민로 60, 401 402호 (용현동 자이프라자)",5/15/2025,6/16/2026,,125.5,None
6033,300283446,서울선샤인치과의원,EXTARO 300 Dental,6033307103,서울,영등포구,"의사당대로 26, 2층 212,213호",5/15/2025,6/16/2026,,125.5,None
6033,914470,비앤씨치과의원,EXTARO 300 Dental,6033307142,서울,서초구,반포대로 287(반포동 래미안중심상가3층),5/15/2025,6/16/2026,,125.5,None
6217,1341335,하남미사더뷰안과,OPMI Lumera 700,6634151605,경기,하남시,"미사강변동로 127, 12층 1201~1206호",5/15/2025,5/16/2026,,0,None
8524,1324305,동래성모안과의원,HFA3  830,830-19275,부산,동래구,"온천장로 7, 4,5층(온천동)",5/15/2025,5/16/2026,,0,None
8524,54291,칼자이스 (주),HFA3  830,830-19282,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/15/2025,6/16/2026,,125.5,None
8524,54291,칼자이스 (주),HFA3  830,830-19278,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/14/2025,6/15/2026,,125.5,None
6033,1145531,연세치과의원,EXTARO 300 Dental,6033307129,충남,서산시,"율지8로 1, 2층",5/13/2025,6/14/2026,,125.5,None
6033,54291,칼자이스 (주),EXTARO 300 Dental,6033307132,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/13/2025,6/14/2026,,125.5,None
6033,54291,칼자이스 (주),EXTARO 300 Dental,6033307136,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/13/2025,6/14/2026,,125.5,None
6033,54291,칼자이스 (주),EXTARO 300 Dental,6033307188,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/13/2025,6/14/2026,,125.5,None
6033,934856,연세공감치과의원,EXTARO 300 Dental,6033307090,서울,관악구,신림로 315(신림동 4층),5/13/2025,6/14/2026,,125.5,None
8525,1116720,의료법인 누네의료재단,HFA3  840,840-26877,경기,남양주시,"진접읍 해밀예당1로 28, 4,5층(진접농협)",5/13/2025,5/14/2026,,0,None
9511,54291,칼자이스 (주),VISUMAX 800,9511100591,Seoul,,"법원로 135, 13층 1301호(문정동, 소노타워)",5/13/2025,6/14/2026,,125.5,None
8524,1148256,서울온안과의원,HFA3  830,830-19266,서울,은평구,"통일로 750, 3층(불광동)",5/12/2025,5/13/2026,,0,None
